UCA	is.;sif.;
UCABOY	sif.;
UCABOYLU	sif.;
UCABOYLULUQ	is.;
UCADAN	zer.;
UCADANDANIŞAN	sif.;
UCAL	f.;
UCALA	f.;
UCALAN	f.;sif.;
UCALANDIR	f.;
UCALANDIRMAQ	f.;
UCALANMAQ	f.;
UCALAŞ	f.;
UCALAŞMAQ	f.;
UCALDIL	f.;
UCALDILMAQ	f.;
UCALIQ	is.;
UCALIŞ	is.;
UCALMAQ	f.;
UCALT	f.;
UCALTMAQ	f.;
UCAMƏRTƏBƏLİ	sif.;
