ŞAP-ŞUP	teq.;
ŞAPALAQ	is.;
ŞAPALAQLA	f.;
ŞAPALAQLAMA	is.;
ŞAPALAQLAMAQ	f.;
ŞAPALAQLAN	f.;
ŞAPALAQLANMA	is.;
ŞAPALAQLANMAQ	f.;
ŞAPALAQLAT	f.;
ŞAPALAQLAŞ	f.;
ŞAPATLAMA	is.;
ŞAPATLAMAQ	f.;
ŞAPIR-ŞAPIR	zer.;
ŞAPIRDATMA	is.;
ŞAPIRDATMAQ	f.;
ŞAPKA	is.;
ŞAPKALI	sif.;
ŞAPKALIQ	is.;
ŞAPKAÇI	is.;
ŞAPKAÇILIQ	is.;
ŞAPLAMA	is.;
ŞAPLAMAQ	f.;
ŞAPPADAN	zer.;
ŞAPPILDA	f.;
ŞAPPILDADIL	f.;
ŞAPPILDADILMA	is.;
ŞAPPILDAMA	is.;
ŞAPPILDAMAQ	f.;
ŞAPPILDAT	f.;
ŞAPPILDATMA	is.;
ŞAPPILDATMAQ	f.;
ŞAPPILTI	is.;
