XƏBİS	ed.;sif.;
XƏBİSLİK	is.;
XƏBİSLƏŞ	f.;
XƏBİSLƏŞMƏ	f.;
XƏBƏR	is.;
XƏBƏR-ƏTƏR	is.;
XƏBƏR-ƏTƏRSİZ	zer.;
XƏBƏR-ƏTƏRSİZLİK	is.;
XƏBƏRDAR	sif.;
XƏBƏRDAREDİCİ	sif.;
XƏBƏRDARLIQ	is.;
XƏBƏRLƏŞ	f.;
XƏBƏRLƏŞMƏ	f_is.;
XƏBƏRLƏŞMƏK	f.;
XƏBƏRSİZ	zer.;
XƏBƏRSİZ-ƏTƏRSİZ	zer.;
XƏBƏRSİZLİK	is.;
XƏBƏRVERİCİ	sif.;
XƏBƏRVERƏN	sif.;
XƏBƏRÇİ	is.;
XƏBƏRÇİLİK	is.;
