ZIR-ZIR	sif.;
ZIRAN	is.;
ZIRHAZIR	zer.;
ZIRI(Q)	f.;is.;sif.;
ZIRILDA	f.;
ZIRILDAMA	f_is.;
ZIRILDAMAQ	f.;
ZIRILDAN	f.;
ZIRILDAT	f.;
ZIRILDATMA	f_is.;
ZIRILDATMAQ	icb.;
ZIRILDAYA-ZIRILDAYA	zer.;
ZIRILDAŞ	f.;
ZIRILTI	is.;
ZIRINPA	is.;
ZIRINQAZIRINQ	zer.;
ZIRPI	f.;is.;sif.;
ZIRPILAŞMA	f_is.;
ZIRPILAŞMAQ	f.;
ZIRPILIQ	is.;
ZIRPILTI	is.;
ZIRRAMA	is.;si
ZIRYAN	is.;
