İRƏLİ	f.;zer.;
İRƏLİ-GERİ	zer.;
İRƏLİCƏ	zer.;
İRƏLİCƏDƏN	zer.;
İRƏLİDƏ	zer.;
İRƏLİDƏKİ	zer.;
İRƏLİDƏN	zer.;
İRƏLİKİ	f.;sif.;
İRƏLİLİK	f.;is.;
İRƏLİLƏ	f.;
İRƏLİLƏDİL	f.;
İRƏLİLƏDİLMƏ	f.;
İRƏLİLƏMƏ	f_is.;
İRƏLİLƏMƏK	f.;
İRƏLİLƏT	f.;
İRƏLİLƏTMƏ	f_is.;
İRƏLİLƏTMƏK	f.;
İRƏLİLƏYİŞ	is.;
İRƏLİYƏ-GERİYƏ	zer.;
İRƏLİÇƏKMƏ	is.;
İRƏLİÇƏKİLMİŞ	sif.;
İRƏLİÇƏKİLMƏ	is.;
İRƏM	is.;
İRƏMƏ	is.;
İRƏŞ	sif.;
İRƏŞMƏ	f.;
İRƏŞT	is.;
