MIR-MIR	teqlidi. soz;
MIRIL-MIRIL	zer.;
MIRILDA	f.;
MIRILDAMAQ	f.;
MIRILDAN	f.;
MIRILDANMAQ	f.;
MIRILDAT	f.;
MIRILDAYA-MIRILDAYA	zer.;
MIRILDAŞ	f.;
MIRILTI	is.;
MIRIQ	sif.;
MIRIQLIQ	is.;
MIRMIRI	is.;
MIRT	is.;
MIRT-MIRT	zer.;
MIRTAMIRT	zer.;
MIRTAN	f.;
MIRTILDA	f.;
MIRTILDAMAQ	f.;
MIRTILDAN	f.;
MIRTILDANMAQ	f.;
MIRTIQ	is.;
MIRTIQLIQ	sif.;
MIRTLA	f.;
MIRTLAMAQ	f.;
MIRTLAN	f.;
MIRTLANMAQ	f.;
