PİS	sif.;zer.;
PİS-PİS	sif.;
PİS-YAXŞI	zer.;
PİSFİKİRLİ	sif.;
PİSFİKİRLİLİK	is.;
PİSLİK	is.;
PİSLƏ	f.;
PİSLƏMƏ	f.;
PİSLƏN	f.;
PİSLƏNMƏ	f.;
PİSLƏŞ	f.;
PİSLƏŞDİR	f.;
PİSLƏŞDİRMƏ	f.;
PİSLƏŞDİRİL	f.;
PİSLƏŞDİRİLMƏ	f.;
PİSLƏŞMƏ	f.;
PİSNİYYƏT	sif.;
PİSNİYYƏTLİ	sif.;
PİSNİYYƏTLİK	is.;
PİSTOLET	is.;
PİSTON	is.;
PİSTON-DETONATOR	is.;
PİSTONLA	f.;
PİSTONLAMAQ	f.;
PİSTONLANMAQ	f.;
PİSTONLU	sif.;
PİSTONQOLU	is.;
PİSXASSƏLİ	sif.;
PİSXASSƏLİLİK	is.;
PİSİK	f.;
PİSİKDİR	f.;
PİSİKDİRMƏ	f.;
PİSİKMƏ	f.;
