ŞİL	f.;is.;sif.;
ŞİL-KÜT	zer.;
ŞİL-ZƏLİL	sif.;
ŞİL-ŞİKƏST	sif.;
ŞİLGİR	is.;
ŞİLGİRLİK	is.;
ŞİLLİK	is.;
ŞİLLİNQLİK	is.;
ŞİLLƏ	is.;
ŞİLLƏ-ŞAPALAQ	is.;
ŞİLLƏLƏ	f.;
ŞİLLƏLƏMƏ	is.;
ŞİLLƏLƏMƏK	f.;
ŞİLLƏLƏN	f.;
ŞİLLƏLƏNMƏ	f.;
ŞİLLƏMƏ	f.;
ŞİLLƏN	f.;
ŞİLLƏNMƏ	f.;
ŞİLLƏT	f.;
ŞİLLƏTMƏ	f.;
ŞİLTƏ-ŞİLTƏ	zer.;
ŞİLTƏNGLİK	is.;
ŞİLƏ	is.;
ŞİLƏ	is.;
ŞİLƏMƏ	f_is.;
ŞİLƏMƏK	f.;
ŞİLƏPLOV	is.;
ŞİLƏYİ	sif.;
