SIZAN	f_sif.;
SIZANAQ	is.;
SIZANAQLI	sif.;
SIZAQ	is.;
SIZAĞAN	is.;
SIZI	is.;
SIZIL	is.;
SIZILDA	f.;
SIZILDAMA	f_is.;
SIZILDAMAQ	f.;
SIZILDAT	f.;
SIZILDAYA-SIZILDAYA	zer.;
SIZILDAŞ	f.;
SIZILMA	f_is.;
SIZILMAQ	sif.;
SIZILTI	is.;
SIZILTILI	sif.;
SIZIM	is.;
SIZIM-SIZIM	zer.;
SIZINTI	is.;
SIZIQ	is.;
SIZLA	f.;
SIZLAMA	f_is.;
SIZLAMAQ	f.;
SIZLAN	f.;
SIZLAT	f.;
SIZMA	f_is.;
SIZMAQ	f.;
SIZQA	sif.;
SIZQOV	sif.;
SIZĞIN	sif.;
SIZĞINTI	is.;
